_id,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
1512729000000,0.02825,0.0294,0.028232,0.02935,3825.014,1512730799999,110.38176625,5032
1512730800000,0.02935,0.031406,0.02935,0.031083,5763.06,1512732599999,174.65522718,6382
1512732600000,0.031099,0.032,0.029209,0.029301,8137.445,1512734399999,248.19067404,7224
1512734400000,0.029279,0.030314,0.028479,0.029149,3954.826,1512736199999,115.80667624,6229
1512736200000,0.029149,0.029774,0.029009,0.029616,4128.218,1512737999999,121.2963248,4006
1512738000000,0.02962,0.030438,0.0296,0.030039,4860.221,1512739799999,145.86927348,4513
1512739800000,0.03004,0.0302,0.029568,0.029713,4757.87,1512741599999,142.04545063,4962
1512741600000,0.029713,0.029799,0.028824,0.028946,3492.499,1512743399999,102.81334409,4672
1512743400000,0.028948,0.028948,0.027,0.027428,4795.141,1512745199999,132.96170274,5690
1512745200000,0.027452,0.028078,0.027,0.028028,3095.354,1512746999999,85.72200395,4248
1512747000000,0.028001,0.028799,0.027898,0.028539,2504.937,1512748799999,71.07867732,4822
1512748800000,0.028539,0.028612,0.027658,0.028158,2764.709,1512750599999,77.84200657,6067
1512750600000,0.028158,0.0298,0.028048,0.029779,5722.944,1512752399999,166.11546588,8741
1512752400000,0.029727,0.0299,0.029506,0.029663,4273.01,1512754199999,126.88598034,4278
1512754200000,0.029663,0.030426,0.02962,0.030426,3461.096,1512755999999,104.08791174,3347
1512756000000,0.030424,0.030532,0.030178,0.030276,3533.784,1512757799999,107.51229064,3186
1512757800000,0.030305,0.030498,0.029655,0.029703,3216.41,1512759599999,96.87819512,4228
1512759600000,0.029818,0.029827,0.029156,0.029267,2373.07,1512761399999,70.04036133,3679
1512761400000,0.029267,0.03039,0.029031,0.029227,2158.067,1512763199999,63.07023587,2914
1512763200000,0.029229,0.029299,0.029002,0.029194,1749.544,1512764999999,51.0114369,3709
1512765000000,0.029169,0.0295,0.029002,0.029266,2459.584,1512766799999,71.83455217,4104
1512766800000,0.02925,0.029476,0.028959,0.029,2264.718,1512768599999,66.30513939,2649
1512768600000,0.028995,0.029088,0.028219,0.028274,3070.747,1512770399999,87.88323899,3995
1512770400000,0.028257,0.028271,0.027983,0.02812,4535.199,1512772199999,127.36736204,3989
1512772200000,0.028107,0.028361,0.027899,0.028158,3911.587,1512773999999,110.42716555,5760
1512774000000,0.028158,0.028268,0.027849,0.028188,3301.841,1512775799999,92.69550646,4830
1512775800000,0.028188,0.028239,0.0276,0.027855,2685.303,1512777599999,74.88888219,3050
1512777600000,0.027863,0.028114,0.027254,0.027545,3673.663,1512779399999,101.8094972,4723
1512779400000,0.02754,0.028278,0.027511,0.028201,3214.483,1512781199999,89.61185404,4051
1512781200000,0.028201,0.028639,0.02795,0.028587,3501.797,1512782999999,99.14477558,4225
1512783000000,0.028579,0.02936,0.028573,0.02925,4173.126,1512784799999,120.42413803,3860
1512784800000,0.029286,0.029361,0.028977,0.029128,2661.351,1512786599999,77.55764,2732
1512786600000,0.029117,0.029959,0.029091,0.029318,2411.311,1512788399999,70.59201871,2388
1512788400000,0.029317,0.029592,0.029311,0.029518,3079.193,1512790199999,90.7875527,3227
1512790200000,0.029501,0.029651,0.029327,0.029537,3086.793,1512791999999,91.11987555,2752
1512792000000,0.02954,0.029678,0.029295,0.0294,3037.143,1512793799999,89.47770035,2715
1512793800000,0.029345,0.030255,0.0293,0.030064,4047.194,1512795599999,120.63828907,3937
1512795600000,0.030064,0.030319,0.029708,0.030319,4047.142,1512797399999,121.80569209,4313
1512797400000,0.030283,0.032,0.030271,0.031342,9261.161,1512799199999,289.7788515,7609
1512799200000,0.031329,0.031468,0.030398,0.03065,5293.025,1512800999999,163.25331566,4454
1512801000000,0.03065,0.031328,0.03065,0.031101,3065.759,1512802799999,94.79595815,2997
1512802800000,0.031102,0.031132,0.03023,0.030427,3555.893,1512804599999,108.5821267,3812
1512804600000,0.030388,0.031116,0.030339,0.030796,3160.116,1512806399999,96.86831567,3717
1512806400000,0.030796,0.0316,0.030796,0.03145,5231.598,1512808199999,163.15213655,3583
1512808200000,0.031449,0.031884,0.031292,0.031822,3796.919,1512809999999,119.96112319,3522
1512810000000,0.031822,0.032416,0.0318,0.032306,4591.824,1512811799999,147.48113272,4182
1512811800000,0.032334,0.032908,0.032077,0.032269,6255.353,1512813599999,202.98221658,5001
1512813600000,0.032269,0.0325,0.03201,0.03214,3957.594,1512815399999,127.93704562,3239
1512815400000,0.032135,0.03225,0.031923,0.032139,3977.419,1512817199999,127.62409643,4122
1512817200000,0.032112,0.032355,0.031471,0.031599,3284.635,1512818999999,104.90417288,4880
1512819000000,0.031591,0.03167,0.031019,0.031244,3023.335,1512820799999,94.62721175,3440
1512820800000,0.03128,0.03156,0.031099,0.031189,2832.13,1512822599999,88.48947111,3375
1512822600000,0.031153,0.031864,0.031001,0.031831,2468.673,1512824399999,77.61590177,3352
1512824400000,0.03183,0.031962,0.031421,0.031497,2598.438,1512826199999,82.17244357,2891
1512826200000,0.031495,0.031553,0.031068,0.031088,2330.816,1512827999999,72.93550658,3287
1512828000000,0.031095,0.031471,0.031059,0.031359,2690.91,1512829799999,84.22961022,2626
1512829800000,0.031357,0.031561,0.031195,0.031517,2794.649,1512831599999,87.58971247,2987
1512831600000,0.031517,0.0322,0.031485,0.032157,3183.38,1512833399999,101.23997403,3833
1512833400000,0.032163,0.033,0.0321,0.032911,4285.206,1512835199999,139.36756449,4184
1512835200000,0.032911,0.0349,0.032878,0.034582,6237.651,1512836999999,210.80651269,5773
1512837000000,0.034547,0.034606,0.033564,0.033766,5187.61,1512838799999,176.56251067,5724
1512838800000,0.033766,0.0345,0.033628,0.034013,4143.313,1512840599999,141.2517739,5341
1512840600000,0.03402,0.034873,0.03275,0.032929,5554.024,1512842399999,188.21816592,5617
1512842400000,0.032933,0.033,0.031776,0.031989,5340.075,1512844199999,172.67320984,5512
1512844200000,0.031989,0.032513,0.031528,0.031728,2853.504,1512845999999,91.20476092,3720
1512846000000,0.03173,0.032183,0.031407,0.03213,2282.694,1512847799999,72.68008307,2785
1512847800000,0.03213,0.032802,0.032129,0.0326,3512.853,1512849599999,113.90802111,3946
1512849600000,0.0326,0.032615,0.031961,0.032134,3308.012,1512851399999,106.76796416,2685
1512851400000,0.032163,0.032163,0.031428,0.03171,1973.325,1512853199999,62.63151315,2828
1512853200000,0.031735,0.032302,0.031691,0.032204,2175.036,1512854999999,69.5645967,2282
1512855000000,0.032196,0.032475,0.031909,0.031944,1878.779,1512856799999,60.38847213,1824
1512856800000,0.031917,0.032178,0.031449,0.031647,2023.181,1512858599999,64.28004912,2198
1512858600000,0.031629,0.031762,0.030922,0.031275,3204.181,1512860399999,100.16666092,2653
1512860400000,0.031275,0.031922,0.031275,0.031587,2176.761,1512862199999,68.76915292,2707
1512862200000,0.031591,0.03168,0.031275,0.031311,1631.633,1512863999999,51.39839515,2204
1512864000000,0.031317,0.03191,0.03122,0.0317,2322.348,1512865799999,73.28034354,3056
1512865800000,0.031702,0.031884,0.031562,0.031608,1737.774,1512867599999,55.17168771,2310
1512867600000,0.031608,0.03249,0.031577,0.03225,3745.455,1512869399999,120.20776475,4160
1512869400000,0.03225,0.032698,0.032,0.032182,3158.458,1512871199999,102.20397042,4090
1512871200000,0.032182,0.032322,0.03181,0.031963,3441.785,1512872999999,110.20203354,3696
1512873000000,0.031963,0.032695,0.03181,0.032527,3573.223,1512874799999,114.9817777,5172
1512874800000,0.032527,0.032733,0.032014,0.032388,4231.428,1512876599999,137.20645425,4471
1512876600000,0.032354,0.032896,0.032045,0.03259,3748.948,1512878399999,121.95193686,7467
1512878400000,0.03252,0.032591,0.031856,0.03236,3979.475,1512880199999,128.52740739,5670
1512880200000,0.03236,0.032622,0.0317,0.0319,3643.585,1512881999999,117.00878193,4908
1512882000000,0.03187,0.032239,0.0317,0.032134,2914.139,1512883799999,93.51200536,4946
1512883800000,0.032106,0.032588,0.031955,0.0325,3000.036,1512885599999,97.01513961,3129
1512885600000,0.03245,0.0326,0.032105,0.032284,2945.228,1512887399999,95.42470884,2514
1512887400000,0.03229,0.032498,0.031427,0.031623,4148.094,1512889199999,132.66880757,2677
1512889200000,0.031565,0.03225,0.031455,0.032074,2962.533,1512890999999,94.22476397,2260
1512891000000,0.032106,0.03248,0.031906,0.031915,2496.172,1512892799999,80.4333678,2215
1512892800000,0.031915,0.03248,0.031904,0.032443,1945.007,1512894599999,62.73298713,2051
1512894600000,0.032443,0.032468,0.032054,0.032193,1907.039,1512896399999,61.58460764,1415
1512896400000,0.032193,0.032337,0.032049,0.0322,1917.65,1512898199999,61.71171072,1525
1512898200000,0.03223,0.032298,0.031928,0.032051,2760.782,1512899999999,88.7826367,1882
1512900000000,0.032052,0.032218,0.0317,0.031755,3100.579,1512901799999,98.92617244,1890
1512901800000,0.031745,0.031831,0.031,0.031586,3513.9,1512903599999,110.65964609,2572
1512903600000,0.031586,0.03175,0.031494,0.031567,1979.182,1512905399999,62.54327268,1835
1512905400000,0.031599,0.032,0.031545,0.031781,2179.024,1512907199999,69.23530847,2121
1512907200000,0.031726,0.032,0.03168,0.031843,2190.464,1512908999999,69.70251112,1927
1512909000000,0.031843,0.031965,0.031319,0.031421,2737.49,1512910799999,86.53601979,2609
1512910800000,0.031479,0.031485,0.030836,0.030895,3288.573,1512912599999,102.4611549,3722
1512912600000,0.030836,0.030974,0.030153,0.030238,4093.945,1512914399999,124.93029819,3979
1512914400000,0.030233,0.030261,0.028899,0.029024,4523.083,1512916199999,133.72508061,4712
1512916200000,0.029024,0.029507,0.028619,0.029139,4675.243,1512917999999,135.66157694,4431
1512918000000,0.029139,0.029735,0.0288,0.028848,6125.713,1512919799999,179.54827646,5177
1512919800000,0.028848,0.029048,0.0284,0.028886,3358.445,1512921599999,96.5417431,3599
1512921600000,0.028871,0.029138,0.028643,0.028752,2625.009,1512923399999,75.84848745,2650
1512923400000,0.028712,0.029379,0.028663,0.029267,3392.774,1512925199999,98.36441512,3879
1512925200000,0.029269,0.02945,0.028817,0.029273,2648.678,1512926999999,77.3059947,3069
1512927000000,0.029301,0.029441,0.029232,0.029362,1814.746,1512928799999,53.21068801,1957
1512928800000,0.029372,0.029774,0.029345,0.02964,2876.2,1512930599999,84.96302802,1984
1512930600000,0.029636,0.029829,0.029337,0.029538,2527.337,1512932399999,74.68643,2047
1512932400000,0.02955,0.029728,0.029231,0.029258,1493.801,1512934199999,44.05732694,1919
1512934200000,0.029231,0.029289,0.0286,0.028694,2055.642,1512935999999,59.53326672,1936
1512936000000,0.028699,0.029006,0.028602,0.028826,2773.397,1512937799999,79.84728049,2345
1512937800000,0.028797,0.02919,0.02876,0.028992,2337.637,1512939599999,67.55968547,2433
1512939600000,0.028942,0.0297,0.028844,0.029426,2963.347,1512941399999,86.52389662,3184
1512941400000,0.029426,0.029938,0.029201,0.029881,2542.98,1512943199999,75.32572254,2522
1512943200000,0.029875,0.02989,0.028958,0.029138,2314.28,1512944999999,68.2820763,2854
1512945000000,0.029135,0.029879,0.029,0.0296,2666.796,1512946799999,78.52977719,2558
1512946800000,0.029606,0.029608,0.027915,0.028124,6770.288,1512948599999,192.27272691,5325
1512948600000,0.028124,0.02899,0.027887,0.028692,3171.371,1512950399999,89.80547075,3001
1512950400000,0.028692,0.028809,0.028438,0.028631,2225.228,1512952199999,63.67817155,2744
1512952200000,0.028599,0.029395,0.028578,0.029044,3798.005,1512953999999,110.12886476,4265
1512954000000,0.029097,0.029127,0.028114,0.028222,4773.639,1512955799999,136.7890622,4378
1512955800000,0.028196,0.02846,0.027626,0.027807,4213.971,1512957599999,117.87855,3693
1512957600000,0.027782,0.028095,0.027656,0.027688,2737.754,1512959399999,76.39690543,2572
1512959400000,0.0277,0.027751,0.0275,0.027626,4034.278,1512961199999,111.55000942,3115
1512961200000,0.027628,0.02777,0.027554,0.027555,3806.123,1512962999999,105.29007295,3678
1512963000000,0.027555,0.027888,0.027411,0.027661,4240.247,1512964799999,116.97563949,4248
1512964800000,0.027657,0.027998,0.027251,0.027954,3224.323,1512966599999,89.19794538,3501
1512966600000,0.027931,0.02844,0.027884,0.027942,3461.973,1512968399999,97.35946161,4066
1512968400000,0.027976,0.028127,0.02774,0.027967,2023.143,1512970199999,56.51758958,2378
1512970200000,0.027959,0.028284,0.027882,0.028156,2925.819,1512971999999,82.00008198,2856
1512972000000,0.028156,0.028406,0.028091,0.028097,3450.031,1512973799999,97.31338574,3572
1512973800000,0.028108,0.028313,0.027599,0.027828,3408.777,1512975599999,95.33476908,3285
1512975600000,0.027758,0.028065,0.027723,0.028023,2917.636,1512977399999,81.37152099,2674
1512977400000,0.028023,0.02804,0.02756,0.02773,3186.349,1512979199999,88.70767077,3025
1512979200000,0.02773,0.027881,0.027581,0.027749,3453.681,1512980999999,95.83100207,2854
1512981000000,0.027749,0.02799,0.027688,0.02789,2848.939,1512982799999,79.3585768,3298
1512982800000,0.02789,0.02804,0.02782,0.027998,2629.667,1512984599999,73.4824561,2651
1512984600000,0.027995,0.0282,0.027972,0.028155,2271.702,1512986399999,63.67791528,2392
1512986400000,0.028095,0.028441,0.028,0.028162,2726.576,1512988199999,76.60378834,3287
1512988200000,0.028162,0.028181,0.027984,0.028017,2214.728,1512989999999,62.13621557,2750
1512990000000,0.028002,0.028182,0.02777,0.027863,2621.419,1512991799999,73.44698192,3472
1512991800000,0.027921,0.028141,0.027806,0.028141,2909.354,1512993599999,81.39884399,3001
1512993600000,0.028113,0.028182,0.028,0.028041,2740.855,1512995399999,76.97049796,2960
1512995400000,0.028036,0.0282,0.028018,0.028152,1834.127,1512997199999,51.57359935,1710
1512997200000,0.028152,0.028574,0.028152,0.02841,4207.602,1512998999999,119.06049736,4023
1512999000000,0.02844,0.028834,0.028334,0.02868,3178.133,1513000799999,90.83474997,3387
1513000800000,0.028688,0.0289,0.028599,0.028638,3537.78,1513002599999,101.69689753,3396
1513002600000,0.028644,0.028898,0.028493,0.028532,3333.693,1513004399999,95.66248936,3621
1513004400000,0.028532,0.028727,0.02846,0.0286,3029.902,1513006199999,86.54808481,3108
1513006200000,0.0286,0.028661,0.028398,0.028494,3277.998,1513007999999,93.53620357,2965
1513008000000,0.028502,0.028647,0.028417,0.028601,2283.503,1513009799999,65.07501676,2496
1513009800000,0.028568,0.02876,0.028493,0.028585,2595.54,1513011599999,74.39784388,2253
1513011600000,0.028581,0.028887,0.02855,0.028769,2853.731,1513013399999,81.98628553,2747
1513013400000,0.028774,0.02907,0.028698,0.028955,3025.347,1513015199999,87.19616575,2650
1513015200000,0.028955,0.029099,0.028694,0.028735,3323.95,1513016999999,96.17057075,2427
1513017000000,0.028733,0.028794,0.028552,0.028608,2939.703,1513018799999,84.26827397,2047
1513018800000,0.028604,0.028659,0.028421,0.028455,2734.31,1513020599999,78.00762177,2412
1513020600000,0.028469,0.028549,0.027645,0.027678,3842.414,1513022399999,107.68436331,3010
1513022400000,0.027678,0.02777,0.026789,0.026945,4062.335,1513024199999,110.85923376,3115
1513024200000,0.026939,0.0275,0.026746,0.02738,3464.091,1513025999999,94.07378144,2696
1513026000000,0.02738,0.02788,0.027287,0.027627,2401.508,1513027799999,66.21383691,2052
1513027800000,0.027627,0.027704,0.02744,0.027543,2193.821,1513029599999,60.47432473,1547
1513029600000,0.027486,0.027746,0.027463,0.027588,2796.332,1513031399999,77.14545,2040
1513031400000,0.027588,0.028085,0.027532,0.028059,3541.816,1513033199999,98.50682097,2217
1513033200000,0.028059,0.029408,0.028001,0.029193,4911.753,1513034999999,139.99763023,3917
1513035000000,0.029188,0.0312,0.029182,0.0307,13151.429,1513036799999,397.68429567,7847
1513036800000,0.030701,0.031384,0.030069,0.030349,9789.939,1513038599999,300.39823619,8160
1513038600000,0.03035,0.030605,0.029843,0.03055,6847.895,1513040399999,207.12509484,6063
1513040400000,0.03055,0.031299,0.030324,0.030609,4971.76,1513042199999,153.19688469,5736
1513042200000,0.03062,0.030942,0.029773,0.029898,5339.52,1513043999999,161.80273953,4178
1513044000000,0.029898,0.03025,0.029835,0.029964,5152.898,1513045799999,154.6091353,4024
1513045800000,0.029964,0.0323,0.029953,0.03215,12620.211,1513047599999,394.00780706,7988
1513047600000,0.032199,0.03395,0.03212,0.032751,16031.803,1513049399999,529.5512216,12497
1513049400000,0.032815,0.03298,0.032133,0.0326,6102.816,1513051199999,198.12792964,5612
1513051200000,0.0326,0.033245,0.032586,0.032778,4736.371,1513052999999,156.1714199,3984
1513053000000,0.032779,0.032856,0.032168,0.032543,4309.545,1513054799999,139.98350885,3957
1513054800000,0.032527,0.032846,0.032005,0.032091,4726.775,1513056599999,153.79943471,3996
1513056600000,0.032094,0.032384,0.03156,0.031638,4203.69,1513058399999,134.67224902,3189
1513058400000,0.031638,0.03179,0.031255,0.031581,4040.893,1513060199999,127.38433318,2924
1513060200000,0.031566,0.031599,0.0312,0.031295,2986.722,1513061999999,93.81350326,2510
1513062000000,0.031295,0.031548,0.031229,0.031306,4160.742,1513063799999,130.41287237,3679
1513063800000,0.03134,0.031591,0.03125,0.031577,5404.05,1513065599999,169.79482466,4077
1513065600000,0.031577,0.031591,0.031212,0.031405,4189.269,1513067399999,131.64842144,3487
1513067400000,0.031401,0.031439,0.031113,0.03121,3114.279,1513069199999,97.46477866,2965
1513069200000,0.031212,0.03135,0.030701,0.030855,4201.771,1513070999999,130.70639095,3507
1513071000000,0.030855,0.031094,0.030748,0.030806,2798.599,1513072799999,86.26703229,3396
1513072800000,0.030806,0.0311,0.030757,0.030974,3768.024,1513074599999,116.53895519,4282
1513074600000,0.030974,0.032676,0.030909,0.0323,7597.922,1513076399999,242.50041349,6309
1513076400000,0.0323,0.032398,0.03198,0.032053,6098.58,1513078199999,196.34290057,5168
1513078200000,0.032007,0.032189,0.0317,0.031726,4583.84,1513079999999,146.32802584,3153
1513080000000,0.031733,0.032282,0.031395,0.032252,6400.289,1513081799999,203.20158566,4353
1513081800000,0.032248,0.03425,0.032037,0.033886,9800.133,1513083599999,326.49440799,5839
1513083600000,0.033925,0.035375,0.0332,0.033474,12750.968,1513085399999,437.70636667,8785
1513085400000,0.033473,0.033689,0.032852,0.033445,7013.613,1513087199999,233.27355046,5839
1513087200000,0.033478,0.03529,0.033402,0.035139,10639.981,1513088999999,364.57814309,7052
1513089000000,0.035139,0.036558,0.035103,0.035837,12918.161,1513090799999,459.92248536,7981
1513090800000,0.035837,0.04,0.035811,0.038504,21909.762,1513092599999,828.67908623,13858
1513092600000,0.03861,0.039299,0.0371,0.037406,16027.859,1513094399999,612.88631284,10878
1513094400000,0.037405,0.0385,0.03711,0.038205,12020.839,1513096199999,454.67290217,8741
1513096200000,0.038211,0.0385,0.035844,0.03644,11202.647,1513097999999,414.28294593,9112
1513098000000,0.03644,0.037159,0.035906,0.036248,7696.178,1513099799999,281.32464191,6602
1513099800000,0.03629,0.036307,0.034,0.034888,7380.704,1513101599999,262.84946599,5380
1513101600000,0.034888,0.034888,0.033345,0.03365,8858.412,1513103399999,302.63272697,6497
1513103400000,0.03365,0.0354,0.033536,0.034899,5592.306,1513105199999,193.87327911,4992
1513105200000,0.034899,0.035897,0.034499,0.035832,4913.547,1513106999999,172.34575504,4913
1513107000000,0.035867,0.036067,0.035127,0.035503,5053.094,1513108799999,180.16532455,3990
1513108800000,0.035504,0.036205,0.035354,0.035929,4513.626,1513110599999,161.40532488,3232
1513110600000,0.035936,0.036749,0.0358,0.03596,5517.493,1513112399999,199.34784173,4664
1513112400000,0.035967,0.03602,0.035027,0.035082,4341.263,1513114199999,153.87207514,4023
1513114200000,0.035094,0.035675,0.034845,0.03545,3892.095,1513115999999,137.23885918,3736
1513116000000,0.035467,0.035603,0.034355,0.034533,4132.369,1513117799999,144.23582573,3854
1513117800000,0.034533,0.035276,0.034356,0.035236,4471.046,1513119599999,155.03332572,3984
